item_key,법원,사건번호,물건명(usage_name),현재model
B01|2023|64647|1,경매11계,2023-64647,승용자동차,승용자동차
E05|2024|70032|1,경매11계,2024-70032,승용자동차,승용자동차
A01|2025|103470|1,경매11계,2025-103470,승용자동차,승용자동차
A04|2024|135858|1,경매12계,2024-135858,승용자동차,승용자동차
A04|2024|140140|1,경매12계,2024-140140,SUV,SUV
H02|2024|117456|1,경매1계,2024-117456,승용자동차,승용자동차
I01|2024|125557|1,경매1계,2024-125557,승용자동차,승용자동차
K01|2024|36881|1,경매1계,2024-36881,승용자동차,승용자동차
K01|2024|39255|1,경매1계,2024-39255,SUV,SUV
K01|2025|31018|1,경매1계,2025-31018,승용자동차,승용자동차
K01|2025|31282|1,경매1계,2025-31282,SUV,SUV
K03|2026|30067|1,경매1계,2026-30067,승용자동차,승용자동차
L04|2026|5047|1,경매1계,2026-5047,승용자동차,승용자동차
F03|2024|12229|1,경매2계,2024-12229,승용자동차,승용자동차
K01|2024|6187|1,경매2계,2024-6187,승용자동차,승용자동차
D01|2025|1774|1,경매2계,2025-1774,승용자동차,승용자동차
H01|2025|503734|1,경매2계,2025-503734,SUV,SUV
D01|2025|70138|1,경매2계,2025-70138,승용자동차,승용자동차
F01|2023|52559|1,경매3계,2023-52559,승용자동차,승용자동차
E01|2024|102744|1,경매3계,2024-102744,승용자동차,승용자동차
E01|2024|104061|1,경매3계,2024-104061,SUV,SUV
H02|2024|113010|1,경매3계,2024-113010,승용자동차,승용자동차
A04|2024|137465|1,경매3계,2024-137465,SUV,SUV
M01|2026|10226|1,경매3계,2026-10226,승용자동차,승용자동차
G01|2023|56411|1,경매4계,2023-56411,SUV,SUV
B03|2025|101193|1,경매4계,2025-101193,SUV,SUV
E02|2025|51922|1,경매4계,2025-51922,승용자동차,승용자동차
B03|2026|100265|1,경매5계,2026-100265,승용자동차,승용자동차
E01|2023|68540|1,경매6계,2023-68540,승용자동차,승용자동차
J04|2024|36380|1,경매6계,2024-36380,SUV,SUV
L01|2024|8032|1,경매6계,2024-8032,승용자동차,승용자동차
L01|2024|80881|1,경매6계,2024-80881,승용자동차,승용자동차
L01|2024|84685|1,경매6계,2024-84685,승용자동차,승용자동차
L01|2024|89512|1,경매6계,2024-89512,승용자동차,승용자동차
K01|2025|31763|1,경매6계,2025-31763,승용자동차,승용자동차
D03|2025|508|1,경매6계,2025-508,승용자동차,승용자동차
B01|2025|22855|1,경매7계,2025-22855,승용자동차,승용자동차
B01|2025|23226|1,경매7계,2025-23226,승용자동차,승용자동차
D01|2025|71850|1,경매7계,2025-71850,승용자동차,승용자동차
E01|2023|72297|1,경매8계,2023-72297,승용자동차,승용자동차
D01|2025|71990|1,경매9계,2025-71990,승용자동차,승용자동차
D01|2026|70902|1,경매9계,2026-70902,SUV,SUV
